entry;description;PoS;PoS detail;alternatives
bunyoni;;PROPN_NAM;;
bureau;;F;;
burgariya;;PROPN_LOC;;"bulgarie;bulgaria;burugari"
burke;;PROPN_NAM;;
burkinafaso;;PROPN_LOC;;"burkina;faso;burkinabe"
burnley;;PROPN_ORG;;
buruseri;;PROPN_LOC;;"bruxelles;brussels"
bus;;F;;
bush;;PROPN_NAM;;
business;;F;;
busoni;;PROPN_LOC;;
butagazwa;;PROPN_LOC;;
butler;;F;;
buyengero;;PROPN_LOC;;
buyenzi;;PROPN_LOC;;
cabinet;;F;;
cadeau;;F;;
cadena;;PROPN_ORG;;
cadre;;F;;
cadres;;F;;
caesalpinia;;PROPN_SCI;;
caf;;PROPN_ORG;;
cagoule;;F;;
cairo;;PROPN_LOC;;
calais;;PROPN_LOC;;
calciomercato;;PROPN_ORG;;
calendrier;;F;;
calgary;;PROPN_LOC;;
california;;PROPN_LOC;;
callamard;;PROPN_NAM;;
callix;;PROPN_NAM;;
callum;;PROPN_NAM;;
cambridge;;PROPN_LOC;;
camilla;;PROPN_NAM;;
camille;;PROPN_NAM;;
camp;;F;;
campagne;;F;;
campbell;;PROPN_NAM;;
campus;;F;;
can;;F;;
canberra;;PROPN_LOC;;
cancer;;F;;
candelabrum;;PROPN_SCI;;
candidat;;F;;
cankuzo;;PROPN_LOC;;
cannabis;;PROPN_SCI;;
cannavaro;;PROPN_NAM;;
canonica;;F;;
canterbury;;PROPN_LOC;;
cantique;;F;;
cap;;F;;
capable;;F;;
cape;;PROPN_LOC;;
capitaine;;F;;
capitol;;F;;
capoeira;;PROPN_ORG;;
capt;;PROPN_NAM;;
car;;F;;
caraibes;;F;;
carbones;;F;;
care;;F;;
cargo;;F;;
carine;;F;;
carlier;;PROPN_NAM;;
carlo;;PROPN_NAM;;
carlos;;PROPN_NAM;;
carnet;;F;;
caro;;F;;
carolina;;PROPN_NAM;;
caroline;;PROPN_NAM;;
carreaux;;F;;
carroll;;PROPN_NAM;;
carte;;F;;
cash;;F;;
casillas;;PROPN_NAM;;
casques;;F;;
cassation;;F;;
cassette;;F;;
cassidy;;PROPN_NAM;;
castanea;;PROPN_SCI;;
castelblanco;;PROPN_LOC;;
caster;;F;;
castor;;PROPN_ORG;;
castro;;PROPN_NAM;;
categorie;;F;;
categories;;F;;
cathedral;;F;;
cathedrale;;F;;
catherine;;PROPN_NAM;;
catholika;;F;;
catholique;;F;;
catholiques;;F;;
cause;;F;;
cautionnement;;F;;
cbinet ;;PROPN_ORG;;
cbs;;PROPN_ORG;;
ccb ;;PROPN_ORG;;
ccm;;PROPN_ORG;;
ccp;;PROPN_ORG;;
cctv;;PROPN_ORG;;
cd;;PROPN_ORG;;
cdc;;PROPN_ORG;;
cdp;;PROPN_ORG;;
ce;;F;;
ceasar;;F;;
cecafa;;PROPN_ORG;;
ceceni;;PROPN_LOC;;"tchetchenie;ceceniya;chechniya;chechniya;chechnya;tchetchenie;chetchenie"
ceci;;F;;
cedric;;PROPN_NAM;;
ceke;;PROPN_LOC;;"czech;ceki;tcheque"
cekoslovakiya;;PROPN_LOC;;tchechoslovakie
cela;;F;;
celestin;;PROPN_NAM;;
celibataire;;F;;
celle;;F;;
celsius;;PROPN_SCI;;
celui;;F;;
cenco;;PROPN_ORG;;
ceni;;PROPN_ORG;;
cent;;PROPN_CUR;;
center;;F;;
centers;;F;;
centre;;F;;
cents;;F;;
cepgl ;;PROPN_ORG;;
cepi;;PROPN_ORG;;
cercle;;F;;
certaines;;F;;
certains;;F;;
certificat;;F;;
ces;;F;;
cesar;;PROPN_NAM;;
cet;;F;;
cette;;F;;
cfa;;PROPN_ORG;;
cfi ;;PROPN_ORG;;
cga;;PROPN_ORG;;
chamberlain;;PROPN_NAM;;
chambre;;F;;
championnat;;F;;
champions;;F;;
championship;;F;;
champs;;F;;
chance;;F;;
chancelier;;F;;
change;;F;;
changement;;F;;
channel;;F;;
chansley;;PROPN_NAM;;
chansons;;F;;
chantal;;PROPN_NAM;;
chante;;F;;
chants;;F;;
chapitre;;F;;
chapman;;PROPN_NAM;;
chaque;;F;;
charge;;F;;
charges;;F;;
charite;;F;;
charles;;PROPN_NAM;;
charlie;;PROPN_NAM;;
chauvin;;PROPN_NAM;;
check;;F;;
cheek;;F;;
chef;;F;;
chefferie;;F;;
