id;kirundi0;prefix;stem;stem_perf;perf;plural;type;class2;class2p;kirundi0_a;prefix_a;stem_a;stem_perf_a;noPlural;pluralFull;sourceLanguage
3809;rurangiranwa;ru;rangiranwa;;;;1;NULL;NULL;;;;;1;;NULL
3810;kurangirisha;ku;rangirisha;rangirishije;shije;;0;NULL;NULL;;;;;0;;NULL
3811;irangiro;i;rangiro;;;;1;NULL;NULL;;;;;0;;NULL
3812;kurangirwa;ku;rangirwa;rangiwe;we;;0;NULL;NULL;;;;;0;;NULL
3813;kurangiza;ku;rangiza;rangije;je;;0;NULL;NULL;;;;;0;;NULL
3814;umurango;umu;rango;;;imi;1;3;4;;;;;0;;NULL
3815;irango;i;rango;;;ama;1;5;6;;;;;0;;NULL
3816;kuranguka;ku;ranguka;rangutse;tse;;0;NULL;NULL;;;;;0;;NULL
3817;kurangura;ku;rangura;ranguye;ye;;0;NULL;NULL;;;;;0;;NULL
3818;kurangura;ku;rangura;ranguye;ye;;0;NULL;NULL;;;;;0;;NULL
3819;karangura;;karangura;;;;1;NULL;NULL;;;;;0;;NULL
3820;kurangurira;ku;rangurira;ranguriye;ye;;0;NULL;NULL;;;;;0;;NULL
3821;kurangurura;ku;rangurura;ranguruye;ye;;0;NULL;NULL;;;;;0;;NULL
3822;umuranguzi;umu;ranguzi;;;aba;1;1;2;;;;;0;;NULL
3823;kurangwa;ku;rangwa;ranzwe;nzwe;;0;NULL;NULL;;;;;0;;NULL
3824;umuranzi;umu;ranzi;;;aba;1;1;2;;;;;0;;NULL
3825;kurara;ku;rara;raye;ye;;0;NULL;NULL;;;;;0;;NULL
3826;kurara;ku;rara;raze;ze;;0;NULL;NULL;;;;;0;;NULL
3827;kuraraguza;ku;raraguza;raraguje;je;;0;NULL;NULL;;;;;0;;NULL
3828;kurarama;ku;rarama;raramye;mye;;0;NULL;NULL;;;;;0;;NULL
3829;kuraramanga;ku;raramanga;raramanze;nze;;0;NULL;NULL;;;;;0;;NULL
3830;akararamango;aka;raramango;;;;1;12;NULL;;;;;1;;NULL
3831;kuraramika;ku;raramika;raramitse;tse;;0;NULL;NULL;;;;;0;;NULL
3832;kuraramira;ku;raramira;raramiye;ye;;0;NULL;NULL;;;;;0;;NULL
3833;kuraramuka;ku;raramuka;raramutse;tse;;0;NULL;NULL;;;;;0;;NULL
3834;kuraramura;ku;raramura;raramuye;ye;;0;NULL;NULL;;;;;0;;NULL
3835;ikirarashamba;iki;rarashamba;;;ibi;1;7;8;;;;;0;;NULL
3836;kurarata;ku;rarata;rarase;se;;0;NULL;NULL;;;;;0;;NULL
3837;ikirare;iki;rare;;;ibi;1;7;8;;;;;0;;NULL
3838;ibirare;ibi;rare;;;;1;NULL;8;;;;;0;;NULL
3839;ibirare;ibi;rare;;;;1;NULL;8;;;;;0;;NULL
3840;kurarika;ku;rarika;raritse;tse;;0;NULL;NULL;;;;;0;;NULL
3841;kurarikwa;ku;rarikwa;raritswe;tswe;;0;NULL;NULL;;;;;0;;NULL
3842;kurarira;ku;rarira;raririye;riye;;0;NULL;NULL;;;;;0;;NULL
3843;irarirari;i;rarirari;;;;1;9;NULL;;;;;1;;NULL
3844;umuraririzi;umu;raririzi;;;aba;1;1;2;;;;;0;;NULL
3845;kurarirwa;ku;rarirwa;rariwe;we;;0;NULL;NULL;;;;;0;;NULL
3846;ikiraro;iki;raro;;;ibi;1;7;8;;;;;0;;NULL
3847;iraro;i;raro;;;ama;1;5;6;;;;;0;;NULL
3848;kurarura;ku;rarura;raruye;ye;;0;NULL;NULL;;;;;0;;NULL
3849;imirarwe;imi;rarwe;;;;1;NULL;4;;;;;2;;NULL
3850;kurasa;ku;rasa;rashe;she;;0;NULL;NULL;;;;;0;;NULL
3851;ururasago;uru;rasago;;;;1;11;NULL;;;;;0;;NULL
3852;kurasana;ku;rasana;rasanye;nye;;0;NULL;NULL;;;;;0;;NULL
3853;ibirashi;ibi;rashi;;;;1;NULL;8;;;;;2;;NULL
3854;kurasira;ku;rasira;rasiye;ye;;0;NULL;NULL;;;;;0;;NULL
3855;amaraso;ama;raso;;;;1;NULL;6;amalaso;ama;;;2;;NULL
3856;kuraswa;ku;raswa;rashwe;shwe;;0;NULL;NULL;;;;;0;;NULL
3857;ikirato;iki;rato;;;ibi;1;7;8;;;;;0;;NULL
3858;kuratsa;ku;ratsa;rakije;kije;;0;NULL;NULL;;;;;0;;NULL
3859;kuratswa;ku;ratswa;kijwe;kijwe;;0;NULL;NULL;;;;;0;;NULL
3860;kuravya;ku;ravya;rabije;bije;;0;NULL;NULL;;;;;0;;NULL
3861;umuravyo;umu;ravyo;;;imi;1;3;4;;;;;0;;NULL
3862;Buraya;Bu;raya;;;;1;14;NULL;Bulaya;bu;;;0;;sw
3863;ikiraya;iki;raya;;;ibi;1;7;8;igihaya;igi;haya;;0;;NULL
3864;umurayi;umu;rayi;;;imi;1;3;4;;;;;0;;NULL
3865;ikirayi;iki;rayi;;;ibi;1;7;8;;;;;0;;NULL
3866;kuraza;ku;raza;raje;je;;0;NULL;NULL;;;;;0;;NULL
3867;kurazirana;ku;razirana;raziranye;nye;;0;NULL;NULL;;;;;0;;NULL
3868;kurazwa;ku;razwa;rajwe;jwe;;0;NULL;NULL;;;;;0;;NULL
3869;amareba;ama;reba;;;;1;NULL;6;;;;;2;;NULL
3870;uburebure;ubu;rebure;;;;1;14;NULL;;;;;1;;NULL
3871;kurega;ku;rega;reze;ze;;0;NULL;NULL;;;;;0;;NULL
3872;kuregana;ku;regana;reganye;nye;;0;NULL;NULL;;;;;0;;NULL
3873;kuregarega;ku;regarega;regareze;ze;;0;NULL;NULL;;;;;0;;NULL
3874;kuregera;ku;regera;regeye;ye;;0;NULL;NULL;;;;;0;;NULL
3875;kuregesha;ku;regesha;regesheje;sheje;;0;NULL;NULL;;;;;0;;NULL
3876;kuregeteranya;ku;regeteranya;regeteranije;nije;;0;NULL;NULL;;;;;0;;NULL
3877;kuregetereza;ku;regetereza;regetereje;je;;0;NULL;NULL;;;;;0;;NULL
3878;ikirego;iki;rego;;;ibi;1;7;8;;;;;0;;NULL
3879;kuregura;ku;regura;reguye;ye;;0;NULL;NULL;;;;;0;;NULL
3880;kuregwa;ku;regwa;rezwe;zwe;;0;NULL;NULL;;;;;0;;NULL
3881;kureha;ku;reha;reshe;she;;0;NULL;NULL;;;;;0;;NULL
3882;kurehereza;ku;rehereza;rehereje;je;;0;NULL;NULL;;;;;0;;NULL
3883;kurehesha;ku;rehesha;rehesheje;sheje;;0;NULL;NULL;;;;;0;;NULL
3884;kureka;ku;reka;retse;tse;;0;NULL;NULL;;;;;0;;NULL
3885;kurekera;ku;rekera;rekeye;ye;;0;NULL;NULL;;;;;0;;NULL
3886;kurekesha;ku;rekesha;rekesheje;sheje;;0;NULL;NULL;;;;;0;;NULL
3887;kurekura;ku;rekura;rekuye;ye;;0;NULL;NULL;;;;;0;;NULL
3888;kurekurana;ku;rekurana;rekuranye;nye;;0;NULL;NULL;;;;;0;;NULL
3889;kurekurira;ku;rekurira;rekuriye;ye;;0;NULL;NULL;;;;;0;;NULL
3890;kurekuriranira;ku;rekuriranira;rekuriraniye;ye;;0;NULL;NULL;;;;;0;;NULL
3891;kurekurirwa;ku;rekurirwa;rekuriwe;we;;0;NULL;NULL;;;;;0;;NULL
3892;kurekurwa;ku;rekurwa;rekuwe;we;;0;NULL;NULL;;;;;0;;NULL
3893;kurekwa;ku;rekwa;retswe;tswe;;0;NULL;NULL;;;;;0;;NULL
3894;kurema;ku;rema;remye;mye;;0;NULL;NULL;;;;;0;;NULL
3895;ikirema;iki;rema;;;ibi;1;7;8;;;;;0;;NULL
3896;amaremano;ama;remano;;;;1;NULL;6;;;;;2;;NULL
3897;kuremara;ku;remara;remaye;ye;;0;NULL;NULL;;;;;0;;NULL
3898;kuremba;ku;remba;remvye;vye;;0;NULL;NULL;;;;;0;;NULL
3899;amarembe;ama;rembe;;;;1;NULL;6;;;;;0;;NULL
3900;kurembeka;ku;rembeka;rembetse;tse;;0;NULL;NULL;;;;;0;;NULL
3901;ururembeko;uru;rembeko;;;in;1;11;10;;;;;0;indembeko;NULL
3902;kurembekurura;ku;rembekurura;rembekuruye;ye;;0;NULL;NULL;;;;;0;;NULL
3903;umuremberezi;umu;remberezi;;;aba;1;1;2;;;;;0;;NULL
3904;irembo;i;rembo;;;ama;1;5;6;;;;;0;;NULL
3905;kuremburura;ku;remburura;remburuye;ye;;0;NULL;NULL;;;;;0;;NULL
3906;kuremeka;ku;remeka;remetse;tse;;0;NULL;NULL;;;;;0;;NULL
3907;kuremekwa;ku;remekwa;remetswe;tswe;;0;NULL;NULL;;;;;0;;NULL
3908;kurementaniriza;ku;rementaniriza;rementanirije;je;;0;NULL;NULL;;;;;0;;NULL
3909;kurementanya;ku;rementanya;rementanije;nije;;0;NULL;NULL;;;;;0;;NULL
3910;kuremera;ku;remera;remereye;reye;;0;NULL;NULL;;;;;0;;NULL
3911;kuremera;ku;remera;remeye;ye;;0;NULL;NULL;;;;;0;;NULL
3912;kuremereza;ku;remereza;remereje;je;;0;NULL;NULL;;;;;0;;NULL
3913;kuremerwa;ku;remerwa;remerewe;rewe;;0;NULL;NULL;;;;;0;;NULL
3914;kuremesha;ku;remesha;remesheje;sheje;;0;NULL;NULL;;;;;0;;NULL
3915;kuremeshwa;ku;remeshwa;remeshejwe;shejwe;;0;NULL;NULL;;;;;0;;NULL
3916;iremezo;i;remezo;;;;1;9;NULL;;;;;1;;NULL
3917;ikiremo;iki;remo;;;ibi;1;7;8;;;;;0;;NULL
